weekday,cam,hour,count
0,330,7,71
0,330,8,78
0,330,9,170
0,330,10,228
0,330,11,329
0,330,12,457
0,330,13,492
0,330,14,443
0,330,15,427
0,330,16,350
0,330,17,435
0,330,18,386
0,330,19,326
0,330,20,301
0,330,21,84
0,330,22,49
0,330,23,40
0,338,0,175
0,338,1,164
0,338,2,133
0,338,3,166
0,338,4,155
0,338,5,144
0,338,6,77
0,338,7,122
0,338,8,134
0,338,9,171
0,338,10,223
0,338,11,196
0,338,12,332
0,338,13,299
0,338,14,263
0,338,15,270
0,338,16,313
0,338,17,366
0,338,18,288
0,338,19,247
0,338,20,285
0,338,21,201
0,338,22,178
0,338,23,155
0,339,0,74
0,339,1,49
0,339,2,44
0,339,3,51
0,339,4,50
0,339,5,41
0,339,6,37
0,339,7,54
0,339,8,94
0,339,9,138
0,339,10,215
0,339,11,216
0,339,12,252
0,339,13,285
0,339,14,230
0,339,15,240
0,339,16,336
0,339,17,314
0,339,18,293
0,339,19,284
0,339,20,253
0,339,21,107
0,339,22,94
0,339,23,65
0,347,0,272
0,347,1,149
0,347,2,94
0,347,3,71
0,347,4,63
0,347,5,78
0,347,6,148
0,347,7,234
0,347,8,390
0,347,9,672
0,347,10,943
0,347,11,1013
0,347,12,989
0,347,13,1082
0,347,14,1059
0,347,15,1196
0,347,16,1392
0,347,17,1462
0,347,18,1287
0,347,19,1157
0,347,20,905
0,347,21,301
0,347,22,236
0,347,23,211
0,351,0,163
0,351,1,126
0,351,2,94
0,351,3,98
0,351,4,59
0,351,5,126
0,351,6,265
0,351,7,260
0,351,8,444
0,351,9,687
0,351,10,760
0,351,11,865
0,351,12,993
0,351,13,1030
0,351,14,923
0,351,15,1031
0,351,16,1071
0,351,17,1004
0,351,18,953
0,351,19,729
0,351,20,529
0,351,21,214
0,351,22,195
0,351,23,190
0,361,0,112
0,361,1,98
0,361,2,91
0,361,3,76
0,361,4,92
0,361,5,78
0,361,6,101
0,361,7,180
0,361,8,201
0,361,9,335
0,361,10,383
0,361,11,318
0,361,12,359
0,361,13,334
0,361,14,405
0,361,15,351
0,361,16,400
0,361,17,416
0,361,18,417
0,361,19,316
0,361,20,359
0,361,21,166
0,361,22,144
0,361,23,171
0,398,0,164
0,398,1,113
0,398,2,67
0,398,3,83
0,398,4,63
0,398,5,102
0,398,6,191
0,398,7,349
0,398,8,425
0,398,9,479
0,398,10,543
0,398,11,596
0,398,12,694
0,398,13,771
0,398,14,612
0,398,15,632
0,398,16,801
0,398,17,799
0,398,18,746
0,398,19,590
0,398,20,566
0,398,21,243
0,398,22,279
0,398,23,246
0,399,0,73
0,399,1,72
0,399,2,67
0,399,3,58
0,399,4,72
0,399,5,47
0,399,6,34
0,399,7,43
0,399,8,55
0,399,9,80
0,399,10,86
0,399,11,146
0,399,12,168
0,399,13,169
0,399,14,173
0,399,15,202
0,399,16,173
0,399,17,173
0,399,18,152
0,399,19,134
0,399,20,124
0,399,21,112
0,399,22,92
0,399,23,92
0,400,0,70
0,400,1,76
0,400,2,113
0,400,3,74
0,400,4,70
0,400,5,147
0,400,6,216
0,400,7,197
0,400,8,204
0,400,9,237
0,400,10,232
0,400,11,289
0,400,12,318
0,400,13,294
0,400,14,294
0,400,15,250
0,400,16,281
0,400,17,351
0,400,18,292
0,400,19,217
0,400,20,189
0,400,21,84
0,400,22,95
0,400,23,87
0,403,0,190
0,403,1,126
0,403,2,116
0,403,3,100
0,403,4,69
0,403,5,76
0,403,6,95
0,403,7,133
0,403,8,193
0,403,9,304
0,403,10,324
0,403,11,403
0,403,12,530
0,403,13,494
0,403,14,586
0,403,15,535
0,403,16,537
0,403,17,575
0,403,18,606
0,403,19,485
0,403,20,446
0,403,21,243
0,403,22,209
0,403,23,166
0,404,0,104
0,404,1,101
0,404,2,89
0,404,3,104
0,404,4,99
0,404,5,150
0,404,6,211
0,404,7,257
0,404,8,281
0,404,9,329
0,404,10,437
0,404,11,450
0,404,12,585
0,404,13,656
0,404,14,650
0,404,15,545
0,404,16,546
0,404,17,577
0,404,18,559
0,404,19,413
0,404,20,340
0,404,21,123
0,404,22,110
0,404,23,78
0,406,0,95
0,406,1,49
0,406,2,36
0,406,3,39
0,406,4,23
0,406,5,37
0,406,6,61
0,406,7,111
0,406,8,151
0,406,9,320
0,406,10,396
0,406,11,480
0,406,12,468
0,406,13,485
0,406,14,432
0,406,15,494
0,406,16,562
0,406,17,545
0,406,18,498
0,406,19,410
0,406,20,382
0,406,21,177
0,406,22,181
0,406,23,108
0,407,0,151
0,407,1,168
0,407,2,170
0,407,3,208
0,407,4,210
0,407,5,130
0,407,6,78
0,407,7,99
0,407,8,131
0,407,9,168
0,407,10,222
0,407,11,217
0,407,12,218
0,407,13,199
0,407,14,227
0,407,15,256
0,407,16,281
0,407,17,273
0,407,18,235
0,407,19,181
0,407,20,170
0,407,21,172
0,407,22,184
0,407,23,192
0,409,0,90
0,409,1,51
0,409,2,49
0,409,3,43
0,409,4,42
0,409,5,168
0,409,6,162
0,409,7,278
0,409,8,341
0,409,9,574
0,409,10,906
0,409,11,893
0,409,12,1093
0,409,13,1104
0,409,14,1139
0,409,15,1243
0,409,16,1306
0,409,17,1466
0,409,18,1336
0,409,19,1084
0,409,20,722
0,409,21,187
0,409,22,178
0,409,23,177
0,410,0,40
0,410,1,30
0,410,2,20
0,410,3,12
0,410,4,23
0,410,5,38
0,410,6,60
0,410,7,99
0,410,8,94
0,410,9,137
0,410,10,108
0,410,11,83
0,410,12,89
0,410,13,102
0,410,14,139
0,410,15,151
0,410,16,81
0,410,17,146
0,410,18,127
0,410,19,107
0,410,20,105
0,410,21,57
0,410,22,78
0,410,23,63
0,412,0,40
0,412,1,36
0,412,2,21
0,412,3,27
0,412,4,24
0,412,5,60
0,412,6,60
0,412,7,98
0,412,8,155
0,412,9,215
0,412,10,207
0,412,11,94
0,412,12,121
0,412,13,141
0,412,14,131
0,412,15,160
0,412,16,168
0,412,17,238
0,412,18,211
0,412,19,130
0,412,20,106
0,412,21,77
0,412,22,68
0,412,23,85
0,413,0,166
0,413,1,126
0,413,2,119
0,413,3,106
0,413,4,91
0,413,5,147
0,413,6,259
0,413,7,289
0,413,8,308
0,413,9,354
0,413,10,419
0,413,11,420
0,413,12,402
0,413,13,519
0,413,14,518
0,413,15,547
0,413,16,488
0,413,17,482
0,413,18,479
0,413,19,438
0,413,20,446
0,413,21,252
0,413,22,237
0,413,23,171
0,414,0,173
0,414,1,133
0,414,2,101
0,414,3,86
0,414,4,101
0,414,5,80
0,414,6,77
0,414,7,177
0,414,8,249
0,414,9,423
0,414,10,558
0,414,11,572
0,414,12,509
0,414,13,649
0,414,14,560
0,414,15,619
0,414,16,709
0,414,17,787
0,414,18,730
0,414,19,613
0,414,20,461
0,414,21,250
0,414,22,212
0,414,23,196
0,415,0,159
0,415,1,111
0,415,2,61
0,415,3,60
0,415,4,43
0,415,5,220
0,415,6,325
0,415,7,338
0,415,8,473
0,415,9,627
0,415,10,748
0,415,11,600
0,415,12,648
0,415,13,738
0,415,14,674
0,415,15,804
0,415,16,860
0,415,17,975
0,415,18,891
0,415,19,770
0,415,20,559
0,415,21,293
0,415,22,218
0,415,23,231
0,416,0,194
0,416,1,127
0,416,2,90
0,416,3,73
0,416,4,77
0,416,5,144
0,416,6,221
0,416,7,305
0,416,8,403
0,416,9,399
0,416,10,401
0,416,11,391
0,416,12,317
0,416,13,309
0,416,14,310
0,416,15,345
0,416,16,442
0,416,17,436
0,416,18,475
0,416,19,383
0,416,20,304
0,416,21,188
0,416,22,201
0,416,23,190
0,419,0,23
0,419,1,10
0,419,2,13
0,419,3,11
0,419,4,14
0,419,5,36
0,419,6,58
0,419,7,91
0,419,8,85
0,419,9,130
0,419,10,147
0,419,11,142
0,419,12,169
0,419,13,174
0,419,14,156
0,419,15,124
0,419,16,146
0,419,17,141
0,419,18,138
0,419,19,96
0,419,20,89
0,419,21,28
0,419,22,27
0,419,23,24
0,420,0,271
0,420,1,192
0,420,2,183
0,420,3,151
0,420,4,153
0,420,5,157
0,420,6,228
0,420,7,295
0,420,8,485
0,420,9,693
0,420,10,1127
0,420,11,1131
0,420,12,1375
0,420,13,1562
0,420,14,1478
0,420,15,1436
0,420,16,1529
0,420,17,1713
0,420,18,1393
0,420,19,971
0,420,20,688
0,420,21,530
0,420,22,545
0,420,23,409
0,421,0,304
0,421,1,230
0,421,2,218
0,421,3,199
0,421,4,236
0,421,5,160
0,421,6,155
0,421,7,238
0,421,8,298
0,421,9,487
0,421,10,558
0,421,11,682
0,421,12,837
0,421,13,967
0,421,14,784
0,421,15,682
0,421,16,1010
0,421,17,760
0,421,18,1061
0,421,19,869
0,421,20,706
0,421,21,320
0,421,22,422
0,421,23,262
0,426,0,24
0,426,1,14
0,426,2,3
0,426,3,2
0,426,4,6
0,426,5,16
0,426,6,26
0,426,7,37
0,426,8,44
0,426,9,104
0,426,10,146
0,426,11,164
0,426,12,196
0,426,13,207
0,426,14,207
0,426,15,215
0,426,16,200
0,426,17,220
0,426,18,187
0,426,19,174
0,426,20,130
0,426,21,70
0,426,22,52
0,426,23,28
0,427,0,40
0,427,1,39
0,427,2,24
0,427,3,25
0,427,4,20
0,427,5,43
0,427,6,67
0,427,7,101
0,427,8,234
0,427,9,224
0,427,10,272
0,427,11,318
0,427,12,426
0,427,13,415
0,427,14,368
0,427,15,368
0,427,16,443
0,427,17,429
0,427,18,420
0,427,19,379
0,427,20,372
0,427,21,87
0,427,22,74
0,427,23,56
0,430,0,73
0,430,1,61
0,430,2,49
0,430,3,56
0,430,4,63
0,430,5,54
0,430,6,40
0,430,7,55
0,430,8,139
0,430,9,128
0,430,10,183
0,430,11,220
0,430,12,313
0,430,13,306
0,430,14,369
0,430,15,383
0,430,16,326
0,430,17,372
0,430,18,291
0,430,19,294
0,430,20,281
0,430,21,135
0,430,22,124
0,430,23,117
0,432,0,28
0,432,1,21
0,432,2,19
0,432,3,25
0,432,4,16
0,432,5,91
0,432,6,52
0,432,7,75
0,432,8,113
0,432,9,204
0,432,10,232
0,432,11,315
0,432,12,298
0,432,13,309
0,432,14,271
0,432,15,329
0,432,16,353
0,432,17,375
0,432,18,325
0,432,19,251
0,432,20,245
0,432,21,53
0,432,22,42
0,432,23,33
0,433,0,82
0,433,1,64
0,433,2,47
0,433,3,42
0,433,4,42
0,433,5,123
0,433,6,91
0,433,7,169
0,433,8,263
0,433,9,419
0,433,10,478
0,433,11,530
0,433,12,570
0,433,13,594
0,433,14,609
0,433,15,578
0,433,16,541
0,433,17,591
0,433,18,530
0,433,19,440
0,433,20,383
0,433,21,152
0,433,22,123
0,433,23,99
0,445,0,86
0,445,1,53
0,445,2,53
0,445,3,46
0,445,4,42
0,445,5,65
0,445,6,183
0,445,7,270
0,445,8,307
0,445,9,304
0,445,10,452
0,445,11,536
0,445,12,647
0,445,13,604
0,445,14,535
0,445,15,566
0,445,16,626
0,445,17,604
0,445,18,561
0,445,19,399
0,445,20,385
0,445,21,177
0,445,22,143
0,445,23,92
0,446,0,27
0,446,1,9
0,446,2,35
0,446,3,13
0,446,4,9
0,446,5,47
0,446,6,34
0,446,7,37
0,446,8,65
0,446,9,42
0,446,10,42
0,446,11,61
0,446,12,73
0,446,13,114
0,446,14,83
0,446,15,136
0,446,16,144
0,446,17,106
0,446,18,61
0,446,19,81
0,446,20,67
0,446,21,24
0,446,22,24
0,446,23,18
0,452,0,22
0,452,1,13
0,452,2,10
0,452,3,4
0,452,4,3
0,452,5,40
0,452,6,94
0,452,7,153
0,452,8,226
0,452,9,481
0,452,10,758
0,452,11,952
0,452,12,1015
0,452,13,1125
0,452,14,1149
0,452,15,1200
0,452,16,1148
0,452,17,1231
0,452,18,1149
0,452,19,1002
0,452,20,1008
0,452,21,49
0,452,22,31
0,452,23,24
0,459,0,49
0,459,1,23
0,459,2,65
0,459,3,78
0,459,4,77
0,459,5,85
0,459,6,102
0,459,7,257
0,459,8,297
0,459,9,377
0,459,10,499
0,459,11,556
0,459,12,632
0,459,13,665
0,459,14,603
0,459,15,574
0,459,16,598
0,459,17,610
0,459,18,725
0,459,19,699
0,459,20,549
0,459,21,121
0,459,22,100
0,459,23,67
0,472,0,172
0,472,1,116
0,472,2,115
0,472,3,111
0,472,4,93
0,472,5,54
0,472,6,38
0,472,7,85
0,472,8,117
0,472,9,142
0,472,10,172
0,472,11,166
0,472,12,185
0,472,13,203
0,472,14,189
0,472,15,150
0,472,16,181
0,472,17,236
0,472,18,227
0,472,19,215
0,472,20,179
0,472,21,186
0,472,22,210
0,472,23,175
0,473,0,49
0,473,1,38
0,473,2,36
0,473,3,35
0,473,4,26
0,473,5,70
0,473,6,90
0,473,7,181
0,473,8,245
0,473,9,577
0,473,10,629
0,473,11,542
0,473,12,647
0,473,13,473
0,473,14,389
0,473,15,408
0,473,16,428
0,473,17,495
0,473,18,452
0,473,19,308
0,473,20,246
0,473,21,121
0,473,22,94
0,473,23,57
0,474,0,43
0,474,1,30
0,474,2,37
0,474,3,33
0,474,4,39
0,474,5,31
0,474,6,37
0,474,7,48
0,474,8,46
0,474,9,22
0,474,10,43
0,474,11,47
0,474,12,28
0,474,13,42
0,474,14,46
0,474,15,96
0,474,16,119
0,474,17,85
0,474,18,87
0,474,19,58
0,474,20,48
0,474,21,30
0,474,22,35
0,474,23,29
0,475,0,1218
0,475,1,951
0,475,2,545
0,475,3,369
0,475,4,301
0,475,5,266
0,475,6,475
0,475,7,708
0,475,8,951
0,475,9,1266
0,475,10,1391
0,475,11,1298
0,475,12,1354
0,475,13,1560
0,475,14,1697
0,475,15,1651
0,475,16,1879
0,475,17,2071
0,475,18,1913
0,475,19,1417
0,475,20,1288
0,475,21,1279
0,475,22,1317
0,475,23,1200
0,489,0,250
0,489,1,148
0,489,2,108
0,489,3,79
0,489,4,52
0,489,5,70
0,489,6,141
0,489,7,213
0,489,8,406
0,489,9,693
0,489,10,994
0,489,11,1052
0,489,12,967
0,489,13,1048
0,489,14,1024
0,489,15,1184
0,489,16,1375
0,489,17,1460
0,489,18,1361
0,489,19,1230
0,489,20,835
0,489,21,308
0,489,22,276
0,489,23,222
0,495,0,331
0,495,1,231
0,495,2,180
0,495,3,154
0,495,4,110
0,495,5,114
0,495,6,164
0,495,7,186
0,495,8,324
0,495,9,399
0,495,10,540
0,495,11,570
0,495,12,608
0,495,13,591
0,495,14,633
0,495,15,676
0,495,16,563
0,495,17,580
0,495,18,681
0,495,19,504
0,495,20,490
0,495,21,395
0,495,22,339
0,495,23,274
0,500,0,293
0,500,1,204
0,500,2,155
0,500,3,145
0,500,4,120
0,500,5,103
0,500,6,181
0,500,7,316
0,500,8,495
0,500,9,727
0,500,10,831
0,500,11,922
0,500,12,1163
0,500,13,1233
0,500,14,1327
0,500,15,1475
0,500,16,1575
0,500,17,1420
0,500,18,1439
0,500,19,1188
0,500,20,1036
0,500,21,521
