date,cam,count
2017-06-30,511,4575
2017-06-30,517,1775
2017-06-30,519,1975
2017-06-30,523,3739
2017-06-30,528,4515
2017-06-30,531,3052
2017-06-30,535,9318
2017-06-30,542,4249
2017-06-30,544,965
2017-06-30,545,1578
2017-06-30,547,754
2017-06-30,548,1010
2017-06-30,550,2421
2017-06-30,551,2092
2017-06-30,552,1472
2017-06-30,715,399
2017-06-30,716,2605
2017-06-30,717,3388
2017-06-30,722,5049
2017-06-30,725,2564
2017-06-30,789,3924
2017-06-30,790,918
2017-06-30,791,1127
2017-06-30,794,1021
2017-06-30,827,1583
2017-06-30,828,1657
2017-06-30,838,4558
2017-06-30,845,2221
2017-06-30,846,3221
2017-06-30,869,1947
2017-06-30,891,5538
2017-06-30,893,24
2017-06-30,899,14394
2017-06-30,928,1141
2017-06-30,985,4389
2017-06-30,988,1120
2017-06-30,1028,2618
2017-07-01,163,4295
2017-07-01,165,871
2017-07-01,166,377
2017-07-01,168,3974
2017-07-01,169,4417
2017-07-01,170,6970
2017-07-01,171,4443
2017-07-01,172,1583
2017-07-01,173,2392
2017-07-01,175,1353
2017-07-01,176,855
2017-07-01,179,3631
2017-07-01,180,4438
2017-07-01,181,10692
2017-07-01,182,344
2017-07-01,187,2667
2017-07-01,192,311
2017-07-01,211,335
2017-07-01,253,328
2017-07-01,287,2197
2017-07-01,292,339
2017-07-01,326,1456
2017-07-01,330,1106
2017-07-01,338,1200
2017-07-01,339,874
2017-07-01,347,4493
2017-07-01,351,2847
2017-07-01,361,1346
2017-07-01,398,2552
2017-07-01,399,747
2017-07-01,400,1837
2017-07-01,403,1822
2017-07-01,404,1974
2017-07-01,406,1659
2017-07-01,407,947
2017-07-01,409,3730
2017-07-01,410,891
2017-07-01,412,1335
2017-07-01,413,1984
2017-07-01,414,2351
2017-07-01,415,3601
2017-07-01,416,1432
2017-07-01,419,1036
2017-07-01,420,1925
2017-07-01,421,2926
2017-07-01,426,556
2017-07-01,427,1135
2017-07-01,430,815
2017-07-01,432,1026
2017-07-01,433,1781
2017-07-01,445,1647
2017-07-01,446,532
2017-07-01,452,3127
2017-07-01,459,1646
2017-07-01,472,974
2017-07-01,473,1612
2017-07-01,474,168
2017-07-01,475,7499
2017-07-01,489,4417
2017-07-01,495,2545
2017-07-01,500,4438
2017-07-01,501,5854
2017-07-01,502,1615
2017-07-01,503,2584
2017-07-01,504,3291
2017-07-01,506,3501
2017-07-01,507,709
2017-07-01,508,2282
2017-07-01,509,3884
2017-07-01,510,1899
2017-07-01,511,3225
2017-07-01,517,1440
2017-07-01,519,1958
2017-07-01,523,2651
2017-07-01,528,2412
2017-07-01,531,1791
2017-07-01,535,7262
2017-07-01,542,3229
2017-07-01,544,920
2017-07-01,545,1572
2017-07-01,547,694
2017-07-01,548,910
2017-07-01,550,738
2017-07-01,551,993
2017-07-01,552,1341
